Word	POS
بتقدر	ب/PROG-PART+تقدر/V
تختار	تختار/V
وتحدد	و/CONJ+تحدد/V
صحابك	صحاب/NOUN-MP+ك/PRON
،	،/PUNC
مستقبلك	مستقبل/NOUN-MS+ك/PRON
،	،/PUNC
حلمك	حلم/NOUN-MS+ك/PRON
متخليش	ما/PART تخلي/V+ي/PRON+ش/NEG-PART
حد	حد/NOUN-MS
يحسسك	يحسس/V+ك/PRON
انك	إن/PART+ك/PRON
أقل	أقل/ADJ-MS
منة	من/PREP+ه/PRON
مهما	مهما/PART
كان	كان/V
السبب	ال/DET+سبب/NOUN-MS
--------------------	-/PUNC
ممكن	ممكن/ADJ-MS
يكون	يكون/V
العيب	ال/DET+عيب/NOUN-MS
فينا	في/PREP+نا/PRON
ان	إن/PART
مش	مش/PART
عاجبنا	عاجب/ADJ-MS+نا/PRON
حالنا	حال/NOUN-MS+نا/PRON
لازم	لازم/ADJ-MS
تبدأ	تبدأ/V
تحب	تحب/V
نفسك	نفس/NOUN-FS+ك/PRON
و تشوفها	و/CONJ+تشوف/V+ها/PRON
حلوة	حلو/ADJ-FS+ة/NSUFF
عشان	علشان/PART
الناس	ال/DET+ناس/NOUN-MP
كمان	كمان/ADV
تشوفك	تشوف/V+ك/PRON
كدة	كده/ADV
لأن	ل/PREP+أن/PART
ببساطة	ب/PREP+بساط/NOUN-FS+ة/NSUFF
محدش	ما/PART حد/NOUN-MS+ش/NEG-PART
هيحبك	ه/FUT-PART+يحب/V+ك/PRON
وانت	و/CONJ+أنت/PRON
مبتحبش	ما/PART ب/PROG-PART+تحب/V+ش/NEG-PART
نفسك	نفس/NOUN-FS+ك/PRON
(	(/PUNC
2	2/NUM
)	)/PUNC
--------------------	-/PUNC
انتوا	إنتو/PRON
مش	مش/PART
متخيلين	متخيل/ADJ-MP+ين/NSUFF
انا	إن/PART
بكره	بكرة/ADV
الكليه	ال/DET+كلي/NOUN-FS+ة/NSUFF
ازاى	إزاي/PART
...	./PUNC ./PUNC ./PUNC
انا	أنا/PRON
بمشى	ب/PROG-PART+أمشي/V
استخبى	أستخبى/V
من	من/PREP
الناس	ال/DET+ناس/NOUN-MP
اللى	اللي/PART
مبحبهاش	ما/PART ب/PROG-PART+أحب/V+ها/PRON+ش/NEG-PART
و دول	و/CONJ+دول/PRON
كتير	كتير/ADJ-MS
--------------------	-/PUNC
لما	لما/PART
اجى	آجي/V
اغسل	أغسل/V
سنانى	سنان/NOUN-FP+ي/PRON
واشم	و/CONJ+أشم/V
ريحة	ريح/NOUN-FS+ة/NSUFF
مجارى	مجاري/NOUN-FP
ف	ف/PREP
ام المياة	أم/NOUN-FS ال/DET+مياه/NOUN-FP
تبقى	تبقى/V
عيشة	عيش/NOUN-FS+ة/NSUFF
تقرف	تقرف/V
حتى	حتى/PART
المياة	ال/DET+مياه/NOUN-FP
مش عارفين	مش/PART عارف/ADJ-MP+ين/NSUFF
نشربها	نشرب/V+ها/PRON
اييييييييييييييييييييييييييييييييييييية	إيه/PART
الذل دة	ال/DET+ذل/NOUN-MS ده/PRON
--------------------	-/PUNC
ببقى	ب/PROG-PART+أبقى/V
محرج	محرج/ADJ-MS
من	من/PREP
الناس	ال/DET+ناس/NOUN-MP
اللى	اللي/PART
عمرى	عمر/NOUN-MS+ي/PRON
ماشوفت	ما/PART شف/V+ت/PRON
منهم	من/PREP+هم/PRON
حاجة وحشة	حاج/NOUN-FS+ة/NSUFF وحش/NOUN-FS+ة/NSUFF
بس	بس/PART
فيه	في/PREP+ه/PRON
حاجز	حاجز/NOUN-MS
نفسى	نفس/ADJ-MS
ناحيتهم	ناحي/NOUN-FS+ة/NSUFF+هم/PRON
لمجرد	ل/PREP+مجرد/NOUN-MS
انهم	إن/PART+هم/PRON
بيفكرونى	ب/PROG-PART+يفكر/V+وا/PRON+ني/PRON
بأيام	ب/PREP+أيام/NOUN-FP
زبالة	زبال/NOUN-FS+ة/NSUFF
.	./PUNC
--------------------	-/PUNC
معنديش	ما/PART عند/NOUN-MS+ي/PRON+ش/NEG-PART
صحاب	صحاب/NOUN-MP
في	في/PREP
الحقيقة	ال/DET+حقيق/NOUN-FS+ة/NSUFF
اخرج	أخرج/V
معاهم	معا/PART+هم/PRON
والكلام ده	و/CONJ+ال/DET+كلام/NOUN-MS ده/PRON
عشان	علشان/PART
كل	كل/NOUN-MS
اللي	اللي/PART
اعرفهم	أعرف/V+هم/PRON
في	في/PREP
الحقيقة	ال/DET+حقيق/NOUN-FS+ة/NSUFF
بيكرهوا	ب/PROG-PART+يكره/V+وا/PRON
بعض	بعض/NOUN-MS
وبيمثلوا	و/CONJ+ب/PROG-PART+يمثل/V+وا/PRON
انهم	إن/PART+هم/PRON
بيحبوا	ب/PROG-PART+يحب/V+وا/PRON
بعض	بعض/NOUN-MS
..	./PUNC ./PUNC
--------------------	-/PUNC
البنت	ال/DET+بنت/NOUN-FS
اللى	اللي/PRON
بتسكت	ب/PROG-PART+تسكت/V
كتير	كثير/ADV
بتعيط	ب/PROG-PART+تعيط/V
كتير	كثير/ADV
!	!/PUNC
وربنا	و/CONJ+رب/NOUN-MS+نا/PRON
يكفيك	يكفي/V+ك/PRON
شر	شر/NOUN-MS
البنت	ال/DET+بنت/NOUN-FS
لما	لما/PART
تكون	تكون/V
مبسوطه	مبسوط/ADJ-FS+ة/NSUFF
هتصدعك	ه/FUT-PART+تصدع/V+ك/PRON
من	من/PREP
كتر	كتر/NOUN-MS
الكلام	ال/DET+كلام/NOUN-MS
!	!/PUNC
--------------------	-/PUNC
المصري	ال/DET+مصري/NOUN-MS
الوحيد	ال/DET+وحيد/ADJ-MS
اللى	اللي/PRON
لو	لو/PART
حصلتله	حصل/V+ت/PRON ل/PREP+ه/PRON
مصيبه	مصيب/NOUN-FS+ة/NSUFF
وعرف	و/CONJ+عرف/V
انها	إن/PART+ها/PRON
مش	مش/PART
عنده	عند/NOUN-MS+ه/PRON
لوحده	ل/PREP+وحد/NOUN-MS+ه/PRON
يرتاح	يرتاح/V
يعنى	يعني/V
مثلا	مثلا/ADV
لو	لو/PART
النور	ال/DET+نور/NOUN-MS
قـطع	قطع/V
يروح	يروح/V
يبص	يبص/V
عند	عند/NOUN-MS
جاره	جار/NOUN-MS+ه/PRON
لو	لو/PART
لقاه	لقى/V+ه/PRON
قاطع	قاطع/ADJ-MS
يرتاح	يرتاح/V
--------------------	-/PUNC
@ehabammar1@esslamhassan2	@ehabammar1@esslamhassan2/MENTION
هما	هما/PRON
عاوزين	عايز/ADJ-MP+ين/NSUFF
كد	كده/ADV
ويبقوا	و/CONJ+يبق/V+وا/PRON
ضحايا	ضحايا/NOUN-MP
بس	بس/ADV
في	في/PREP
ستين	ستين/NUM
الف	ألف/NUM
داهيه	داهي/NOUN-FS+ة/NSUFF
خونه	خون/NOUN-MP+ة/NSUFF
خدوا	خد/V+وا/PRON
كتير	كتير/ADV
من	من/PREP
مصر	مصر/NOUN-FS
وفي	و/CONJ+في/PREP
اﻻخر	ال/DET+آخر/NOUN-MS
خربوها	خرب/V+وا/PRON+ها/PRON
--------------------	-/PUNC
#	#/HASH
البلد دي	ال/DET+بلد/NOUN-FS دي/PRON
مشكلتها	مشكل/NOUN-FS+ة/NSUFF+ها/PRON
ان	إن/PART
كل	كل/NOUN-MS
واحد	واحد/NOUN-MS
شايف	شايف/ADJ-MS
نفسة	نفس/NOUN-FS+ه/PRON
هو	هو/PRON
بس	بس/ADV
ال صح	ال/DET+صح/NOUN-MS
#	#/HASH
و مبيشوفش	و/CONJ+ما/PART ب/PROG-PART+يشوف/V+ش/NEG-PART
غير	غير/NOUN-MS
غلطات	غلط/NOUN-FP+ات/NSUFF
الناس	ال/DET+ناس/NOUN-MP
#	#/HASH
بس	بس/PART
ياريت	يا/PART ريت/NOUN-MS
كل	كل/NOUN-MS
واحد	واحد/NOUN-MS
يغير	يغير/V
من	من/PREP
نفسة	نفس/NOUN-FS+ه/PRON
الاول	ال/DET+أول/ADJ-MS
:)	:)/EMOT
--------------------	-/PUNC
#	#/HASH
في	في/PREP
_	_/PUNC
عالم	عالم/NOUN-MS
_	_/PUNC
موازي	موازي/ADJ-MS
اتنين	اتنين/NUM
فضلوا	فضل/V+وا/PRON
يحبوا	يحب/V+وا/PRON
بعض	بعض/NOUN-MS
وعاهدوا	و/CONJ+عاهد/V+وا/PRON
بعض	بعض/NOUN-MS
انهم	إن/PART+هم/PRON
يتجوززوا	يتجوز/V+وا/PRON
وحصل	و/CONJ+حصل/V
واتجوزوا	و/CONJ+اتجوز/V+وا/PRON
وخلفوا	و/CONJ+خلف/V+وا/PRON
عيال	عيال/NOUN-MP
مؤدبة	مؤدب/ADJ-FS+ة/NSUFF
خالص	خالص/ADV
.	./PUNC
--------------------	-/PUNC
الثوار	ال/DET+ثوار/NOUN-MP
اللي	اللي/PART
شايفين	شايف/ADJ-MS+ين/PRON
البرادعي	ال/DET+برادعي/NOUN-MS
أيقونة	أيقون/NOUN-FS+ة/NSUFF
وبيدعموا	و/CONJ+ب/PROG-PART+يدعم/V+وا/PRON
حمدين	حمدين/NOUN-MS
اللي	اللي/PRON
الأيقونة	ال/DET+أيقون/NOUN-FS+ة/NSUFF
قال	قال/V
عليه	على/PREP+ه/PRON
زبال	زبال/NOUN-MS
ومتخلف	و/CONJ+متخلف/ADJ-MS
بيعملوا إيه	ب/PROG-PART+يعمل/V+وا/PRON إيه/PART
دلوقتي	دلوقتي/ADV
؟	؟/PUNC
أكيد	أكيد/ADJ-MS
بيدخلوا	ب/PROG-PART+يدخل/V+وا/PRON
في	في/PREP
الحيطان	ال/DET+حيطان/NOUN-FP
زي	زي/NOUN-MS
الوطواط	ال/DET+وطواط/NOUN-MS
--------------------	-/PUNC
ايوة	نعم/PART
اتغيرت	اتغير/V+ت/PRON
..	./PUNC ./PUNC
فيها اية	في/PREP+ها/PRON إيه/PART
يعني	يعني/ADV
!!	!/PUNC !/PUNC
ماهو	ما/PART هو/PRON
مفيش	ما/PART في/PREP+ش/NEG-PART
حاجة بتفضل	حاج/NOUN-FS+ة/NSUFF ب/PROG-PART+تفضل/V
علي	على/PREP
حالها	حال/NOUN-MS+ها/PRON
،،	،/PUNC ،/PUNC
اشمعنا انا	إشمعنى/PART أنا/PRON
هفضل	ه/FUT-PART+أفضل/V
علي	على/PREP
حالي	حال/NOUN-MS+ي/PRON
--------------------	-/PUNC
يعني	يعني/ADV
اللي	اللي/PART
قعدوا	قعد/V+وا/PRON
سارقين	سارق/ADJ-MP+ين/NSUFF
البلد	ال/DET+بلد/NOUN-FS
30	30/NUM
سنة	سن/NOUN-FS+ة/NSUFF
و قتلوا	و/CONJ+قتل/V+وا/PRON
المتظاهرين	ال/DET+متظاهر/NOUN-MP+ين/NSUFF
بيأخدوا	ب/PROG-PART+يأخد/V+وا/PRON
براءات	براء/NOUN-FP+ات/NSUFF
و الشريف	و/CONJ+ال/DET+شريف/ADJ-MS
يأخد	يأخد/V
اعدام	إعدام/NOUN-MS
لمجرد	ل/PREP+مجرد/NOUN-MS
انة	إن/PART+ه/PRON
نزل	نزل/V
فى	في/PREP
مظاهرات	مظاهر/NOUN-FP+ات/NSUFF
http://t.co/0pKKpC92Ap	http:\\t.co\0pKKpC92Ap/URL
--------------------	-/PUNC
لو عايز	لو/PART عايز/ADJ-MS
تنام	تنام/V
ومش عارف	و/CONJ+مش/PART عارف/ADJ-MS
،	،/PUNC
قوم	قوم/V
ذاكر	ذاكر/V
وإن	و/CONJ+إن/PART
شاء	شاء/V
الله	الله/NOUN-MS
ربنا	رب/NOUN-MS+نا/PRON
هيوفقك	ه/FUT-PART+يوفق/V+ك/PRON
،	،/PUNC
وتنام	و/CONJ+تنام/V
D:	D:/EMOT
--------------------	-/PUNC
انت	إنت/PRON
الواحيد	ال/DET+وحيد/ADJ-MS
اللى	اللي/PRON
عارف	عارف/ADJ-MS
امتى	إمتى/PART
تقف	تقف/V
وامتى	و/CONJ+إمتى/PART
تكمل	تكمل/V
متخليش	ما/PART تخلي/V+ي/PRON+ش/NEG-PART
حد	حد/NOUN-MS
يحبطك	يحبط/V+ك/PRON
انت	إنت/PRON
مفتاح	مفتاح/NOUN-MS
نجاحك	نجاح/NOUN-MS+ك/PRON
:)	:)/EMOT
--------------------	-/PUNC
لا	لا/PART
انا	أنا/PRON
مش	مش/PART
مضايق	متضايق/ADJ-MS
انا	أنا/PRON
كويس	كويس/ADJ-MS
اهو	أهو/ADV
ومش	و/CONJ+مش/PART
مخنوق	مخنوق/ADJ-MS
كمان	كمان/ADV
انا	أنا/PRON
زي الفل	زي/NOUN-MS ال/DET+فل/NOUN-MS
ومن	و/CONJ+من/REP
جوايا	جوا/NOUN-FS+يا/PRON
بقول	ب/PROG-PART+أقول/V
ل لساني	ل/PREP+لسان/NOUN-MS+ي/PRON
خف	خف/V
كدب	كدب/NOUN-MS
--------------------	-/PUNC
@CAP_SHADY	@CAP_SHADY/MENTION
دي	دي/PRON
حقيقه	حقيق/NOUN-FS+ة/NSUFF
للاسف	ل/PREP+ال/DET+أسف/NOUN-MS
الواحد	ال/DET+واحد/NOUN-MS
بقي	بقى/V
بيقول	ب/PROG-PART+يقول/V
الفاظ	ألفاظ/NOUN-FP
ملهاش	ما/PART ل/PREP+ها/PRON+ش/NEG-PART
اي	أي/PART
علاقه	علاق/NOUN-FS+ة/NSUFF
بتربيته	ب/PREP+تربي/NOUN-FS+ة/NSUFF+ه/PRON
ابويا	أبو/NOUN-MS+يا/PRON
لو	لو/PART
عرف	عرف/V
هيدبحني	ه/FUT-PART+يدبح/V+ني/PRON
شقا	شقى/NOUN-MS
عمره	عمر/NOUN-MS+ه/PRON
منهم	ب/PREP+هم/PRON
لله	ل/PREP+الله/NOUN-MS
الباردين	ال/DET+بارد/ADJ-MP+ين/NSUFF
--------------------	-/PUNC
لما	لما/PART
بتحس	ب/PROG-PART+تحس/V
ان	إن/PART
في حد	في/PREP+ه/PRON حد/NOUN-MS
مركز	مركز/ADJ-MS
معاك	معا/PART+ك/PRON
و باصص	و/CONJ+باصص/ADJ-MS
عليك	على/PREP+ك/PRON
غبائك	غباء/NOUN-MS+ك/PRON
و هبلك	و/CONJ+هبل/NOUN-MS+ك/PRON
بيزيدوا	ب/PROG-PART+يزيد/V+وا/PRON
بغباء	ب/PREP+غباء/NOUN-MS
بقى	بقى/ADV
!	!/PUNC
--------------------	-/PUNC
لو متهمنيش	لو/PART ما/PART تهم/V+ني/PRON+ش/NEG-PART
..	./PUNC ./PUNC
كان	كان/V
من بدري	من/PREP بدري/ADJ-MS
اسيبك	أسيب/V+ك/PRON
واعيش	و/CONJ+أعيش/V
..	./PUNC ./PUNC
ولا	و/CONJ+لا/PART
كنت	كن/V+ت/PRON
ارجع	أرجع/V
اقول	أقول/V
حبيبي	حبيب/NOUN-MS+ي/PRON
..	./PUNC ./PUNC
مين	مين/PART
هيبقى	ه/FUT-PART+يبقي/V
عليك	على/PREP+ك/PRON
كده	كده/ADV
؟؟	؟/PUNC ؟/PUNC
:)	:)/EMOT
--------------------	-/PUNC
خليك	خل/V+ي/PRON+ك/PRON
#	#/HASH
متفائل	متفائل/ADJ-MS
لدرجة أن	ل/PREP+درج/NOUN-FS+ة/NSUFF أن/PART
لو	لو/PART
حصلت	حصل/V+ت/PRON
لك	ل/PREP+ك/PRON
مشكلة	مشكل/NOUN-FS+ة/NSUFF
مااتضاايقش	ما/PART تتضايق/V+ش/NEG-PART
على أاد	ب/PREP قد/NOUN-MS
ماا	ما/PART
المفروض	ال/DET+مفروض/ADJ-MS
تفرح	تفرح/V
علشاان	علشان/PART
هتقربك	ه/FUT-PART+تقرب/V+ك/PRON
أكتر	أكتر/ADJ-MS
من	من/PREP
#	#/HASH
ربناا	رب/NOUN-MS+نا/PRON
...	./PUNC ./PUNC ./PUNC
--------------------	-/PUNC
روح	روح/V
هاتلك	هات/V ل/PREP+ك/PRON
شيكولاته	شيكولات/NOUN-FS+ة/NSUFF
بتحبها	ب/PROG-PART+تحب/V+ها/PRON
..	./PUNC ./PUNC
انزل	انزل/V
اقابل	أقابل/V
اصحابك	أصحاب/NOUN-MP+ك/PRON
..	./PUNC ./PUNC
اقفل	اقفل/V
النور	ال/DET+نور/NOUN-MS
وشغل	و/CONJ+شغل/V
فيلم	فيلم/NOUN-MS
بتحبه	ب/PROG-PART+تحب/V+ه/PRON
..	./PUNC ./PUNC
شغل	شغل/V
اغاني	أغاني/NOUN-FP
دوشة	دوش/NOUN-FS+ة/NSUFF
وارقص	و/CONJ+ارقص/V
عليها	على/PREP+ها/PRON
..	./PUNC ./PUNC
برضه	برضه/ADV
الاكتئاب	ال/DET+اكتئاب/NOUN-MS
مش حيروح	مش/PART ه/FUT-PART+يروح/V
يا	يا/PART
اهبل	أهبل/NOUN-MS
:D	:D/EMOT
--------------------	-/PUNC
ربنا	رب/NOUN-MS+نا/PRON
يكفيكوا	يكفي/V+كم/PRON
شر	شر/NOUN-MS
بيت	بيت/NOUN-MS
كل	كل/NOUN-MS
اودة	أوض/NOUN-FS+ة/NSUFF
فيه	في/PREP+ه/PRON
قاعد	قاعد/ADJ-MS
فيها	في/PREP+ها/PRON
حد	حد/NOUN-MS
وانت	و/CONJ+أنت/PRON
مش لاقي	مش/PART لاقي/ADJ-MS
مكان	مكان/NOUN-MS
تعيط	تعيط/V
فيه	في/PREP+ه/PRON
-.-	-.-/EMOT
--------------------	-/PUNC
اوقات	أوقات/NOUN-FP
بشوف	ب/PROG-PART+أشوف/V
حاجات	حاج/NOUN-FP+ات/NSUFF
غريبه	غريب/ADJ-FS+ة/NSUFF
بخاف	ب/PROG-PART+أخاف/V
اقول	أقول/V
انها	إن/PART+ها/PRON
غريبه	غريب/ADJ-FS+ة/NSUFF
احسن	أحسن/ADJ-MS
الناس	ال/DET+ناس/NOUN-MP
تقول	تقول/V
عليا	على/PREP+يا/PRON
غريب	غريب/ADJ-MS
و ده	و/CONJ+ده/PRON
بقى	بقى/PART
الغريب	ال/DET+غريب/ADJ-MS
فى	في/PREP
الموضوع	ال/DET+موضوع/NOUN-MS
!!	!/PUNC !/PUNC
--------------------	-/PUNC
ما	ما/PART
تسجنش	تسجن/V+ش/NEG-PART
نفسك	نفس/NOUN-FS+ك/PRON
جو	جو/NOUN-FS+ة/NSUFF
حوار	حوار/NOUN-MS
معين	معين/ADJ-MS
خليك عارف	خل/V+ي/PRON+ك/PRON عارف/ADJ-MS
تتكلم	تتكلم/V
فى	في/PREP
اى	أي/PART
حاجه	حاج/NOUN-FS+ة/NSUFF
دى	دي/PRON
الحياة	ال/DET+حيا/NOUN-FS+ة/NSUFF
والله	و/CONJ+الله/NOUN-MS
بس	بس/PART
عشها	عش/V+ها/PRON
صح	صح/NOUN-MS
هتحبها	ه/FUT-PART+تحب/V+ها/PRON
وحتبك	و/CONJ+ه/FUT-PART+تحب/V+ك/PRON
--------------------	-/PUNC
بلاش	بلاش/PART
تحكم	تحكم/V
علي	على/PREP
حد	حد/NOUN-MS
من	من/PREP
المظهر	ال/DET+مظهر/NOUN-MS
أو	أو/CONJ
من بره	من/PREP بر/NOUN-FS+ة/NSUFF
بس	بس/ADV
,	,/PUNC
هو	هو/PRON
ممكن	ممكن/ADJ-MS
يبان	يبان/V
أدامك	قدام/NOUN-MS+ك/PRON
أنه	أن/PART+ه/PRON
أسعد	أسعد/NOUN-FS
واحد	واحد/NOUN-MS
في	في/PREP
الدنيا	ال/DET+دنيا/NOUN-FS
بس هو	بس/PART هو/PRON
من	من/PREP
جواه	جوا/NOUN-FS+ه/PRON
ميت	ميت/ADJ-MS
,,	,/PUNC ,/PUNC
:)	:)/EMOT
!	!/PUNC
--------------------	-/PUNC
هو	هو/PRON
انت	أنت/PRON
ي بني	يا/PART بن/NOUN-MS+ي/PRON
مش	مش/PART
بتنام	ب/PROG-PART+تنام/V
غير	غير/NOUN-MS
فى	في/PREP
محاضراتى	محاضر/NOUN-FP+ات/NSUFF+ي/PRON
؟؟	؟/PUNC ؟/PUNC
ما	ما/PART
حضرتك	حضر/NOUN-MS+ة/NSUFF+ك/PRON
دايما	دايما/ADV
بتوفر	ب/PROG-PART+توفر/V
الجو	ال/DET+جو/NOUN-MS
المناسب	ال/DET+مناسب/ADJ-MS
للنوم	ل/PREP+ال/DET+نوم/NOUN-MS
بصراحه	ب/PREP+صراح/NOUN-FS+ة/NSUFF
!	!/PUNC
#	#/HASH
يا	يا/PART
_	_/PUNC
دكتور	دكتور/NOUN-MS
--------------------	-/PUNC
الو	ألو/NOUN-MS
ماكدونلز	ماكدونالدز/NOUN-MS
؟	؟/PUNC
ايوة	أيوة/PART
يا	يا/PART
فندم	فندم/NOUN-MS
طاب	طيب/ADJ-MS
معاك	معا/PART+ك/PRON
ماما	ماما/NOUN-FS
اهو	أهو/ADV
قولها	قول/V ل/PREP+ها/PRON
بالظبط	ب/PREP+ال/DET+ظبط/NOUN-MS
بتعملو	ب/PROG-PART+تعمل/V+وا/PRON
البطاطس	ال/DET+بطاطس/NOUN-FS
بتاعتكو	بتاع/NOUN-FS+ة/NSUFF+كم/PRON
ازاى	إزاي/PART
خدي	خد/V+ي/PRON
يا	يا/PART
ماما	ماما/NOUN-FS
كلمي	كلم/V+ي/PRON
--------------------	-/PUNC
انا	أنا/PRON
لما	لما/PART
حد يسألني	حد/NOUN-MS يسأل/V+ني/PRON
برجك	برج/NOUN-MS+ك/PRON
ايه	إيه/PART
بتكسف	ب/PROG-PART+أتكسف/V
اقوله	أقول/V ل/PREP+ه/PRON
العذاراء	ال/DET+عذراء/NOUN-FS
بصراحة	ب/PREP+صراح/NOUN-FS+ة/NSUFF
احا	أحا/NOUN-MS
اصلا	أصلا/ADV
مين	مين/PART
اللي	اللي/PRON
سمي	سمى/V
الابراج دي	ال/DET+أبراج/NOUN-FP دي/PRON
--------------------	-/PUNC
و انت	و/CONJ+إنت/PRON
ماشي	ماشي/ADJ-MS
مع	مع/PART
حد	حد/NOUN-MS
و بتدور	و/CONJ+ب/PROG-PART+تدور/V
علي	على/PREP
حد	حد/NOUN-MS
تاني	تاني/ADJ-MS
في	في/PREP
وشوش	وشوش/NOUN-FP
الناس	ال/DET+ناس/NOUN-MP
..	./PUNC ./PUNC
اعرف	اعرف/V
انك	إن/PART+ك/PRON
مش	مش/PART
بتحتجله	ب/PROG-PART+تحتاج/V ل/PREP+ه/PRON
..	./PUNC ./PUNC
و مش ده	و/CONJ+مش/PART ده/PRON
اللي انت عاوزوه	اللي/PRON إنت/PRON عايز/ADJ-MS+ه/PRON
..	./PUNC ./PUNC
--------------------	-/PUNC
وفضلوا	و/CONJ+فضل/V+وا/PRON
يتريأوا	يتريق/V+وا/PRON
عليهم	على/PREP+هم/PRON
وانتوا	و/CONJ+إنتو/PRON
جايين	قادم/ADJ-FS+ين/NSUFF
تعملوا ايه	تعمل/V+وا/PRON إيه/PART
دا	ده/PRON
انتوا	إنتو/PRON
مهما	مهما/PART
عملتوا	عمل/V+تم/PRON
ماحدش هيسمع	ما/PART حد/NOUN-MS+ش/NEG-PART ه/FUT-PART+يسمع/V
والشيوخ	و/CONJ+ال/DET+شيوخ/NOUN-MP
فضلوا	فضل/V+وا/PRON
يكلموهم	يكلم/V+وا/PRON+هم/PRON
عن	عن/PREP
الحرام	ال/DET+حرام/NOUN-MS
والحلال	و/CONJ+ال/DET+حلال/NOUN-MS
لحد ما	ل/PREP+حد/NOUN-MS ما/PART
الشباب	ال/DET+شباب/NOUN-MP
هديوا	هدي/V+وا/PRON
-	-/PUNC
3	3/NUM
--------------------	-/PUNC
انا	أنا/PRON
غلطانه	غلطان/ADJ-FS+ة/NSUFF
اني	إن/PART+ي/PRON
سمعت	سمع/V+ت/PRON
كلام	كلام/NOUN-MS
ماما	ماما/NOUN-FS
نجوي	نجوى/NOUN-MS
لما	لما/PART
قالت	قال/V+ت/PRON
سامح	سامح/V
ياسامح	يا/PART سامح/NOUN-MS
سامح	سامح/V
خليك	خل/V+ي/PRON+ك/PRON
مسامح	مسامح/ADJ-MS
سامح	سامح/V
كان	كان/V
لازم	لازم/ADJ-MS
ياخدوا	يأخد/V+وا/PRON
بالجزمه	ب/PREP+ال/DET+جزم/NOUN-FS+ة/NSUFF
احنا	إحنا/PRON
جيل	جيل/NOUN-MP
اتربي	اتربى/V
غلط	غلط/NOUN-MS
--------------------	-/PUNC
نفسى	نفس/NOUN-FS+ي/PRON
امى	أم/NOUN-FS+ي/NSUFF
تقتنع	تقتنع/V
انى	إن/PART+ي/PRON
لما	لما/PART
هطلع	ه/FUT-PART+أطلع/V
العصير	ال/DET+عصير/NOUN-MS
لصحابى	ل/PREP+صحاب/NOUN-MP+ي/PRON
من غير	ب/PREP غير/NOUN-MS
صينية	صيني/NOUN-FS+ة/NSUFF
هيشربوة	ه/FUT-PART+يشرب/V+وا/PRON+ه/PRON
عادى	عادي/ADJ-MS
دول	دول/PRON
مبيقولوش	ما/PART ب/PROG-PART+يقول/V+وا/PRON+ش/NEG-PART
لأ	لا/PART
:D	:D/EMOT
--------------------	-/PUNC
@ibrahem_mhlb	@ibrahem_mhlb/MENTION
@Nsaaemm	@Nsaaemm/MENTION
حزب	حزب/NOUN-MS
النور	ال/DET+نور/NOUN-MS
شعارهم	شعار/NOUN-MS+هم/PRON
"	"""/PUNC
"
شغال	شغال/ADJ-MS
فى	في/PREP
اى	أي/PART
مجال	مجال/NOUN-MS
،	،/PUNC
نساند	نساند/V
اى	أي/PART
حد	حد/NOUN-MS
ونبوس	و/CONJ+نبوس/V
ايده	إيد/NOUN-FS+ه/PRON
ما	ما/PART
دامت	دام/V+ت/PRON
القوة	ال/DET+قو/NOUN-FS+ة/NSUFF
معه	مع/PART+ه/PRON
"	"""/PUNC
"
من	من/PREP
الآخر	ال/DET+آخر/NOUN-MS
يخافوا	يخاف/V+وا/PRON
مايختشوش	ما/PART يختشي/V+وا/PRON+ش/NEG-PART
--------------------	-/PUNC
شايف	شايف/ADJ-MS
الواد	ال/DET+واد/NOUN-MS
اللي	اللي/PRON
هناك	هناك/ADV
ده	ده/PRON
بس	بس/PART
متبصلوش	ما/PART تبص/V ل/PREP+هو/PRON+ش/NEG-PART
؟؟	؟/PUNC ؟/PUNC
بقولك	ب/PROG-PART+أقول/V ل/PREP+ك/PRON
متبصلوش	ما/PART تبص/V ل/PREP+هو/PRON+ش/NEG-PART
؟!!	؟/PUNC !/PUNC !/PUNC
بصتلو	بصي/V+ت/PRON ل/PREP+ه/PRON
بردو	برضه/ADV
!!	!/PUNC !/PUNC
--------------------	-/PUNC
ايوه	نعم/PART
انا	أنا/PRON
اللى	اللي/PRON
بيتغير	ب/PROG-PART+يتغير/V
المود بتاعه	ال/DET+مود/NOUN-MS بتاع/NOUN-MS+ه/PRON
على	على/PREP
حسب	حسب/NOUN-MS
الاغنيه	ال/DET+أغني/NOUN-FS+ة/NSUFF
اللى	اللي/PRON
بيسمعها	ب/PROG-PART+يسمع/V+ها/PRON
..	./PUNC ./PUNC
حلوه	حلو/ADJ-FS+ة/NSUFF
افرح	أفرح/V
..	./PUNC ./PUNC
وحشه	وحش/ADJ-FS+ة/NSUFF
ازعل	أزعل/V
تحس	تحس/V
انى	إن/PART+ي/PRON
زايط	زايط/ADJ-MS
فى	في/PREP
الزيطه	ال/DET+زيط/NOUN-FS+ة/NSUFF
xD	xD/EMOT
--------------------	-/PUNC
كل واحد فينا	كل/NOUN-MS واحد/NOUN-MS في/PREP+نا/PRON
اول	أول/ADJ-MS
ما	ما/PART
بتيجى	ب/PROG-PART+تيج/V+ي/PRON
سيرة	سير/NOUN-FS+ة/NSUFF
قلة	قل/NOUN-FS+ة/NSUFF
الاصل	ال/DET+أصل/NOUN-MS
ادامه	قدام/NOUN-MS+ه/PRON
