Fold,SubFold,SentID,Order,Word,,Segmentation,,,,,,,,,,,,,,,
5,B,65,8,راحو,,راح+و,,,,2,A,,,,,,,,,,
5,B,65,9,يديرو,,يدير+و,,,,2,A,,,,,,,,,,
5,B,65,10,فتنة,,فتن+ة,,,,2,A,,,,,,,,,,
5,B,65,11,على,,على,,,,2,A,,,,,,,,,,
5,B,65,12,اهاب,,اهاب,,,,2,A,,,,,,,,,,
5,B,65,13,مع,,مع,,,,2,A,,,,,,,,,,
5,B,65,14,حبيبتو,,حبيب+ت+و,,,,2,A,,,,,,,,,,
5,B,65,15,السابقة,,ال+سابق+ة,,,,2,A,,,,,,,,,,
5,B,65,16,و,,و,,,,2,A,,,,,,,,,,
5,B,65,17,بلي,,ب+لي,,,,2,A,,,,,,,,,,
5,B,65,18,يكرهنا,,يكره+نا,,,,2,A,,,,,,,,,,
5,B,65,19,حسادين,,حساد+ين,,,,2,A,,,,,,,,,,
5,B,65,0,EOS,,EOS,,,,2,A,,,,,,,,,,
1,B,66,1,ايهاب,,ايهاب,,,,2,A,,,,,,,,,,
1,B,66,2,تهلا,,تهلا,,,,2,A,,,,,,,,,,
1,B,66,3,فحنان,,ف+حنان,,,,2,A,,,,,,,,,,
1,B,66,4,وماتخلش,,و+ما+تخل+ش,,,,2,A,,,,,,,,,,
1,B,66,5,البراني,,ال+براني,,,,2,A,,,,,,,,,,
1,B,66,6,يضحك,,يضحك,,,,2,A,,,,,,,,,,
1,B,66,7,عليها,,علي+ها,,,,2,A,,,,,,,,,,
1,B,66,8,راك,,را+ك,,,,2,A,,,,,,,,,,
1,B,66,9,فاهم,,فاهم,,,,2,A,,,,,,,,,,
1,B,66,10,الرجولة,,ال+رجول+ة,,,,2,A,,,,,,,,,,
1,B,66,11,منذ,,منذ,,,,2,A,,,,,,,,,,
1,B,66,12,الطفولة,,ال+طفول+ة,,,,2,A,,,,,,,,,,
1,B,66,13,وخلكم,,و+خل+كم,,,,5,A,,,,,,,,,,
1,B,66,14,مجموعين,,مجموع+ين,,,,5,A,,,,,,,,,,
1,B,66,15,مع,,مع,,,,5,A,,,,,,,,,,
1,B,66,16,نسوم,,نسوم,,,,5,A,,,,,,,,,,
1,B,66,17,وانيس,,و+انيس,,,,5,A,,,,,,,,,,
1,B,66,18,غنيو,,غني+و,,,,5,A,,,,,,,,,,
1,B,66,19,لي,,لي,,,,5,A,,,,,,,,,,
1,B,66,0,EOS,,EOS,,,,5,A,,,,,,,,,,
2,A,67,1,ايهاب,,ايهاب,,,,5,A,,,,,,,,,,
2,A,67,2,حديث,,حديث,,,,5,A,,,,,,,,,,
2,A,67,3,الساعة,,ال+ساع+ة,,,,5,A,,,,,,,,,,
2,A,67,4,يا,,يا,,,,5,A,,,,,,,,,,
2,A,67,5,ناس,,ناس,,,,5,A,,,,,,,,,,
2,A,67,6,راه,,را+ه,,,,5,A,,,,,,,,,,
2,A,67,7,ماشي,,ماشي,,,,5,A,,,,,,,,,,
2,A,67,8,فينال,,فينال,,,,5,A,,,,,,,,,,
2,A,67,9,هدرو,,هدر+و,,,,5,A,,,,,,,,,,
2,A,67,10,شوية,,شوي+ة,,,,5,A,,,,,,,,,,
2,A,67,11,على,,على,,,,5,A,,,,,,,,,,
2,A,67,12,الفيناليست,,ال+فيناليست,,,,5,A,,,,,,,,,,
2,A,67,13,و,,و,,,,5,A,,,,,,,,,,
2,A,67,14,خليوه,,خلي+وه,,,,5,A,,,,,,,,,,
2,A,67,15,عليكم,,علي+كم,,,,5,A,,,,,,,,,,
2,A,67,16,الكل,,ال+كل,,,,5,A,,,,,,,,,,
2,A,67,17,حابب,,حابب,,,,4,A,,,,,,,,,,
2,A,67,18,يحتكرو,,يحتكر+و,,,,4,A,,,,,,,,,,
2,A,67,19,لازم,,لازم,,,,4,A,,,,,,,,,,
2,A,67,20,يرضي,,يرضي,,,,4,A,,,,,,,,,,
2,A,67,21,الكل,,ال+كل,,,,4,A,,,,,,,,,,
2,A,67,0,EOS,,EOS,,,,4,A,,,,,,,,,,
4,B,68,1,ايهاب,,ايهاب,,,,4,A,,,,,,,,,,
4,B,68,2,راكي,,را+كي,,,,4,A,,,,,,,,,,
4,B,68,3,عارفة,,عارف+ة,,,,4,A,,,,,,,,,,
4,B,68,4,نتي,,نت+ي,,,,4,A,,,,,,,,,,
4,B,68,5,كاش,,كاش,,,,4,A,,,,,,,,,,
4,B,68,6,واحد,,واحد,,,,4,A,,,,,,,,,,
4,B,68,7,يديرلك,,يدير+ل+ك,,,,4,A,,,,,,,,,,
4,B,68,8,شي,,شي,,,,2,A,,,,,,,,,,
4,B,68,9,حاجة,,حاجة,,,,2,A,,,,,,,,,,
4,B,68,10,هنا,,هنا,,,,2,A,,,,,,,,,,
4,B,68,11,واش,,واش,,,,2,A,,,,,,,,,,
4,B,68,12,ندير,,ندير,,,,2,A,,,,,,,,,,
4,B,68,13,نطلب,,نطلب,,,,2,A,,,,,,,,,,
4,B,68,14,من,,من,,,,2,A,,,,,,,,,,
4,B,68,15,اي,,اي,,,,2,A,,,,,,,,,,
4,B,68,16,واحد,,واحد,,,,2,A,,,,,,,,,,
4,B,68,17,يدير,,يدير,,,,2,A,,,,,,,,,,
4,B,68,18,شي,,شي,,,,2,A,,,,,,,,,,
4,B,68,19,حاجة,,حاجة,,,,2,A,,,,,,,,,,
4,B,68,20,حابة,,حاب+ة,,,,2,A,,,,,,,,,,
4,B,68,21,نشوف,,نشوف,,,,2,A,,,,,,,,,,
4,B,68,22,هوبتي,,هوب+تي,,,,2,A,,,,,,,,,,
4,B,68,23,واش,,واش,,,,3,A,,,,,,,,,,
4,B,68,24,يدير,,يدير,,,,3,A,,,,,,,,,,
4,B,68,0,EOS,,EOS,,,,3,A,,,,,,,,,,
2,B,69,1,ايهاب,,ايهاب,,,,3,A,,,,,,,,,,
2,B,69,2,زير,,زير,,,,3,A,,,,,,,,,,
2,B,69,3,راسك,,رأس+ك,,,,3,A,,,,,,,,,,
2,B,69,4,راه,,را+ه,,,,3,A,,,,,,,,,,
2,B,69,5,منين,,منين,,,,3,A,,,,,,,,,,
2,B,69,6,كتكون,,ك+تكون,,,,3,A,,,,,,,,,,
2,B,69,7,ناشط,,ناشط,,,,3,A,,,,,,,,,,
2,B,69,8,كل,,كل,,,,3,A,,,,,,,,,,
2,B,69,9,جمهورك,,جمهور+ك,,,,3,A,,,,,,,,,,
2,B,69,10,كيكون,,ك+يكون,,,,3,A,,,,,,,,,,
2,B,69,11,ناشط,,ناشط,,,,1,A,,,,,,,,,,
2,B,69,12,و,,و,,,,1,A,,,,,,,,,,
2,B,69,13,منين,,منين,,,,1,A,,,,,,,,,,
2,B,69,14,كتقلق,,ك+تقلق,,,,1,A,,,,,,,,,,
2,B,69,15,كنتقلقوا,,ك+نتقلق+وا,,,,1,A,,,,,,,,,,
2,B,69,16,معاك,,معا+ك,,,,1,A,,,,,,,,,,
2,B,69,17,حق,,حق,,,,1,A,,,,,,,,,,
2,B,69,18,الرب,,ال+رب,,,,1,A,,,,,,,,,,
2,B,69,0,EOS,,EOS,,,,1,A,,,,,,,,,,
5,B,70,1,ايهاب,,ايهاب,,,,1,A,,,,,,,,,,
5,B,70,2,سهيلة,,سهيلة,,,,1,A,,,,,,,,,,
5,B,70,3,كانت,,كان+ت,,,,1,A,,,,,,,,,,
5,B,70,4,تحكي,,تحكي,,,,1,A,,,,,,,,,,
5,B,70,5,صح,,صح,,,,1,A,,,,,,,,,,
5,B,70,6,في,,في,,,,1,A,,,,,,,,,,
5,B,70,7,مشهد,,مشهد,,,,1,A,,,,,,,,,,
5,B,70,8,اليوم,,ال+يوم,,,,1,A,,,,,,,,,,
5,B,70,9,واش,,واش,,,,1,A,,,,,,,,,,
5,B,70,10,ردك,,ردك,,,,1,A,,,,,,,,,,
5,B,70,11,الحقيقي,,ال+حقيقي,,,,1,A,,,,,,,,,,
5,B,70,12,مع,,مع,,,,1,A,,,,,,,,,,
5,B,70,13,انو,,انو,,,,1,A,,,,,,,,,,
5,B,70,14,السوهابين,,ال+سوهاب+ين,,,,2,A,,,,,,,,,,
5,B,70,15,متاكدين,,متاكد+ين,,,,2,A,,,,,,,,,,
5,B,70,16,منو,,من+و,,,,2,A,,,,,,,,,,
5,B,70,17,عبر,,عبر,,,,2,A,,,,,,,,,,
5,B,70,18,لو,,لو,,,,2,A,,,,,,,,,,
5,B,70,19,حتى,,حتى,,,,2,A,,,,,,,,,,
5,B,70,20,باغنية,,ب+أغني+ة,,,,2,A,,,,,,,,,,
5,B,70,21,صادق,,صادق,,,,2,A,,,,,,,,,,
5,B,70,0,EOS,,EOS,,,,2,A,,,,,,,,,,
5,A,71,1,ايهاب,,ايهاب,,,,2,A,,,,,,,,,,
5,A,71,2,لوكان,,لو+كان,,,,2,A,,,,,,,,,,
5,A,71,3,راه,,را+ه,,,,2,A,,,,,,,,,,
5,A,71,4,راكب,,راكب,,,,2,A,,,,,,,,,,
5,A,71,5,ف,,ف,,,,2,A,,,,,,,,,,
5,A,71,6,فكرون,,فكرون,,,,2,A,,,,,,,,,,
5,A,71,7,لوكان,,لو+كان,,,,2,A,,,,,,,,,,
5,A,71,8,وصل,,وصل,,,,2,A,,,,,,,,,,
5,A,71,9,للبنان,,ل+لبنان,,,,2,A,,,,,,,,,,
5,A,71,10,طمنونا,,طمن+و+نا,,,,2,A,,,,,,,,,,
5,A,71,11,يا,,يا,,,,2,A,,,,,,,,,,
5,A,71,12,جماعة,,جماع+ة,,,,2,A,,,,,,,,,,
5,A,71,13,قولولكم,,قول+و+ل+كم,,,,2,A,,,,,,,,,,
5,A,71,14,كلمة,,كلم+ة,,,,2,A,,,,,,,,,,
5,A,71,15,ايهاب,,ايهاب,,,,2,A,,,,,,,,,,
5,A,71,16,و,,و,,,,2,A,,,,,,,,,,
5,A,71,17,سوكا,,سوكا,,,,2,A,,,,,,,,,,
5,A,71,18,فين,,فين,,,,2,A,,,,,,,,,,
5,A,71,0,EOS,,EOS,,,,2,A,,,,,,,,,,
2,A,72,1,ايهاب,,ايهاب,,,,2,A,,,,,,,,,,
2,A,72,2,وسهيلة,,و+سهيلة,,,,2,A,,,,,,,,,,
2,A,72,3,واحد,,واحد,,,,2,A,,,,,,,,,,
2,A,72,4,المغرب,,ال+مغرب,,,,2,A,,,,,,,,,,
2,A,72,5,والجزائر,,و+ال+جزائر,,,,2,A,,,,,,,,,,
2,A,72,6,خاوة,,خاو+ة,,,,2,A,,,,,,,,,,
2,A,72,7,مغرب,,مغرب,,,,2,A,,,,,,,,,,
2,A,72,8,عربي,,عربي,,,,2,A,,,,,,,,,,
2,A,72,9,واحد,,واحد,,,,2,A,,,,,,,,,,
2,A,72,10,لا,,لا,,,,2,A,,,,,,,,,,
2,A,72,11,للفتنة,,ل+ال+فتن+ة,,,,2,A,,,,,,,,,,
2,A,72,12,واللي,,و+ال+لي,,,,2,A,,,,,,,,,,
2,A,72,13,يلعب,,يلعب,,,,2,A,,,,,,,,,,
2,A,72,14,على,,على,,,,2,A,,,,,,,,,,
2,A,72,15,الفتنة,,ال+فتن+ة,,,,2,A,,,,,,,,,,
2,A,72,16,ي,,ي,,,,2,A,,,,,,,,,,
2,A,72,0,EOS,,EOS,,,,2,A,,,,,,,,,,
4,A,73,1,اييه,,اييه,,,,2,A,,,,,,,,,,
4,A,73,2,اللي,,اللي,,,,2,A,,,,,,,,,,
4,A,73,3,سرقو,,سرق+و,,,,2,A,,,,,,,,,,
4,A,73,4,الطاموبيل,,ال+طاموبيل,,,,2,A,,,,,,,,,,
4,A,73,5,ديال,,ديال,,,,2,A,,,,,,,,,,
4,A,73,6,نقل,,نقل,,,,2,A,,,,,,,,,,
4,A,73,7,الاموال,,ال+أموال,,,,2,A,,,,,,,,,,
4,A,73,0,EOS,,EOS,,,,2,A,,,,,,,,,,
5,B,74,1,بالعربية,,ب+ال+عربي+ة,,,,2,A,,,,,,,,,,
5,B,74,2,هادشي,,هادشي,,,,2,A,,,,,,,,,,
5,B,74,3,غير,,غير,,,,2,A,,,,,,,,,,
5,B,74,4,تبرهيش,,تبرهيش,,,,2,A,,,,,,,,,,
5,B,74,5,دعمو,,دعم+و,,,,2,A,,,,,,,,,,
5,B,74,6,ولاد,,ولاد,,,,2,A,,,,,,,,,,
5,B,74,7,بلادكم,,بلاد+كم,,,,2,A,,,,,,,,,,
5,B,74,8,و,,و,,,,2,A,,,,,,,,,,
5,B,74,9,هنيو,,هني+و,,,,4,A,,,,,,,,,,
5,B,74,10,الوقت,,ال+وقت,,,,4,A,,,,,,,,,,
5,B,74,11,درتو,,درت+و,,,,4,A,,,,,,,,,,
5,B,74,12,الشوهة,,ال+شوه+ة,,,,4,A,,,,,,,,,,
5,B,74,13,قدام,,قدام,,,,4,A,,,,,,,,,,
5,B,74,14,البراني,,ال+براني,,,,4,A,,,,,,,,,,
5,B,74,15,حنان,,حنان,,,,4,A,,,,,,,,,,
5,B,74,16,ايهاب,,ايهاب,,,,4,A,,,,,,,,,,
5,B,74,17,واحد,,واحد,,,,4,A,,,,,,,,,,
5,B,74,0,EOS,,EOS,,,,4,A,,,,,,,,,,
4,B,75,1,باي,,باي,,,,4,A,,,,,,,,,,
4,B,75,2,باي,,باي,,,,4,A,,,,,,,,,,
4,B,75,3,مصر,,مصر,,,,4,A,,,,,,,,,,
4,B,75,4,هلو,,هلو,,,,4,A,,,,,,,,,,
4,B,75,5,لبنان,,لبنان,,,,4,A,,,,,,,,,,
4,B,75,6,غادية,,غادي+ة,,,,4,A,,,,,,,,,,
4,B,75,7,عند,,عند,,,,4,A,,,,,,,,,,
4,B,75,8,مول,,مول,,,,4,A,,,,,,,,,,
4,B,75,9,الحانوت,,ال+حانوت,,,,4,A,,,,,,,,,,
4,B,75,10,لي,,لي,,,,4,A,,,,,,,,,,
4,B,75,11,فراس,,ف+راس,,,,4,A,,,,,,,,,,
4,B,75,12,الدرب,,ال+درب,,,,4,A,,,,,,,,,,
4,B,75,13,مثلا,,مثل+ا,,,,4,A,,,,,,,,,,
4,B,75,14,والله,,و+الله,,,,4,A,,,,,,,,,,
4,B,75,15,جامي,,جامي,,,,4,A,,,,,,,,,,
4,B,75,16,شفت,,شف+ت,,,,4,A,,,,,,,,,,
4,B,75,17,بحالها,,ب+حال+ها,,,,4,A,,,,,,,,,,
4,B,75,18,الحماق,,ال+حماق,,,,4,A,,,,,,,,,,
4,B,75,19,ديالها,,ديال+ها,,,,4,A,,,,,,,,,,
4,B,75,20,شاد,,شاد,,,,4,A,,,,,,,,,,
4,B,75,21,السربيس,,ال+سربيس,,,,4,A,,,,,,,,,,
4,B,75,22,فسبيطار,,ف+سبيطار,,,,4,A,,,,,,,,,,
4,B,75,23,ال,,ال,,,,4,A,,,,,,,,,,
4,B,75,0,EOS,,EOS,,,,4,A,,,,,,,,,,
1,A,76,1,ببسي,,ببسي,,,,4,A,,,,,,,,,,
1,A,76,2,مع,,مع,,,,4,A,,,,,,,,,,
1,A,76,3,سهيله,,سهيله,,,,4,A,,,,,,,,,,
1,A,76,4,يلا,,يلا,,,,4,A,,,,,,,,,,
1,A,76,5,تقدر,,تقدر,,,,4,A,,,,,,,,,,
1,A,76,6,بالغرام,,ب+ال+غرام,,,,4,A,,,,,,,,,,
1,A,76,7,شبه,,شبه,,,,4,A,,,,,,,,,,
1,A,76,8,الحنين,,ال+حنين,,,,4,A,,,,,,,,,,
1,A,76,9,ابن,,ابن,,,,4,A,,,,,,,,,,
1,A,76,10,الجزائر,,ال+جزائر,,,,2,A,,,,,,,,,,
1,A,76,11,انيس,,انيس,,,,2,A,,,,,,,,,,
1,A,76,12,علاش,,علاش,,,,2,A,,,,,,,,,,
1,A,76,13,الفتن,,ال+فتن,,,,2,A,,,,,,,,,,
1,A,76,14,علاش,,علاش,,,,2,A,,,,,,,,,,
1,A,76,15,منجم,,منجم,,,,2,A,,,,,,,,,,
1,A,76,0,EOS,,EOS,,,,2,A,,,,,,,,,,
5,A,77,1,برد,,برد,,,,2,A,,,,,,,,,,
5,A,77,2,يديه,,يد+ي+ه,,,,2,A,,,,,,,,,,
5,A,77,3,معا,,معا,,,,2,A,,,,,,,,,,
5,A,77,4,الحديدة,,ال+حديد+ة,,,,2,A,,,,,,,,,,
5,A,77,5,ديال,,ديال,,,,2,A,,,,,,,,,,
5,A,77,6,الطاولة,,ال+طاول+ة,,,,2,A,,,,,,,,,,
5,A,77,0,EOS,,EOS,,,,2,A,,,,,,,,,,
4,B,78,1,بزاف,,بزاف,,,,2,A,,,,,,,,,,
4,B,78,2,عليك,,علي+ك,,,,2,A,,,,,,,,,,
4,B,78,3,كل,,كل,,,,2,A,,,,,,,,,,
4,B,78,4,دقيقة,,دقيق+ة,,,,2,A,,,,,,,,,,
4,B,78,5,المغرب,,ال+مغرب,,,,2,A,,,,,,,,,,
4,B,78,6,اهاب,,اهاب,,,,2,A,,,,,,,,,,
4,B,78,7,مرقتيها,,مرق+تي+ها,,,,2,A,,,,,,,,,,
4,B,78,8,نسيتينا,,نسي+تي+نا,,,,2,A,,,,,,,,,,
4,B,78,9,انك,,ان+ك,,,,2,A,,,,,,,,,,
4,B,78,10,جزايرية,,جزايري+ة,,,,2,A,,,,,,,,,,
4,B,78,11,سهيله,,سهيله,,,,2,A,,,,,,,,,,
4,B,78,12,تحلابك,,تحلاب+ك,,,,2,A,,,,,,,,,,
4,B,78,13,للمغرب,,ل+ال+مغرب,,,,2,A,,,,,,,,,,
4,B,78,14,لا,,لا,,,,2,A,,,,,,,,,,
4,B,78,15,يمثلنا,,يمثل+نا,,,,2,A,,,,,,,,,,
4,B,78,0,EOS,,EOS,,,,2,A,,,,,,,,,,
4,B,79,1,بزاف,,بزاف,,,,2,A,,,,,,,,,,
4,B,79,2,عليك,,علي+ك,,,,2,A,,,,,,,,,,
4,B,79,3,وصعيب,,و+صعيب,,,,2,A,,,,,,,,,,
4,B,79,4,تلعبي,,تلعب+ي,,,,2,A,,,,,,,,,,
4,B,79,5,بيا,,ب+يا,,,,2,A,,,,,,,,,,
4,B,79,6,شكون,,شكون,,,,2,A,,,,,,,,,,
4,B,79,7,للي,,ل+لي,,,,2,A,,,,,,,,,,
4,B,79,8,كذب,,كذب,,,,2,A,,,,,,,,,,
4,B,79,9,عليك,,علي+ك,,,,4,A,,,,,,,,,,
4,B,79,10,وقلك,,و+قل+ك,,,,4,A,,,,,,,,,,
4,B,79,11,باقي,,باقي,,,,4,A,,,,,,,,,,
4,B,79,12,نيه,,ني+ه,,,,4,A,,,,,,,,,,
4,B,79,13,ما,,ما,,,,4,A,,,,,,,,,,
4,B,79,14,بغاش,,بغا+ش,,,,4,A,,,,,,,,,,
4,B,79,15,قلبك,,قلب+ك,,,,4,A,,,,,,,,,,
4,B,79,16,يفيق,,يفيق,,,,4,A,,,,,,,,,,
4,B,79,17,ما,,ما,,,,4,A,,,,,,,,,,
4,B,79,18,شدتيش,,شد+تي+ش,,,,4,A,,,,,,,,,,
4,B,79,19,معايا,,معا+يا,,,,4,A,,,,,,,,,,
4,B,79,20,الطريق,,ال+طريق,,,,4,A,,,,,,,,,,
4,B,79,21,عمري,,عمر+ي,,,,4,A,,,,,,,,,,
4,B,79,22,فيك,,في+ك,,,,4,A,,,,,,,,,,
4,B,79,23,ميليق,,م+يليق,,,,4,A,,,,,,,,,,
4,B,79,24,حسن,,حسن,,,,4,A,,,,,,,,,,
4,B,79,25,ليك,,لي+ك,,,,4,A,,,,,,,,,,
4,B,79,26,بعدي,,بعد+ي,,,,4,A,,,,,,,,,,
4,B,79,27,عل,,عل,,,,4,A,,,,,,,,,,
4,B,79,0,EOS,,EOS,,,,4,A,,,,,,,,,,
2,B,80,1,بصح,,ب+صح,,,,4,A,,,,,,,,,,
2,B,80,2,انا,,أنا,,,,4,A,,,,,,,,,,
2,B,80,3,مراكشية,,مراكشي+ة,,,,1,A,,,,,,,,,,
2,B,80,4,خخخخخ,,خخخخخ,,,,1,A,,,,,,,,,,
2,B,80,5,وكاينة,,و+كاين+ة,,,,1,A,,,,,,,,,,
2,B,80,6,فاسبانيا,,ف+اسبانيا,,,,1,A,,,,,,,,,,
2,B,80,7,خخخخ,,خخخخ,,,,1,A,,,,,,,,,,
2,B,80,8,فين,,فين,,,,1,A,,,,,,,,,,
2,B,80,9,كاينة,,كاين+ة,,,,1,A,,,,,,,,,,
2,B,80,10,فمراكش,,ف+مراكش,,,,1,A,,,,,,,,,,
2,B,80,0,EOS,,EOS,,,,1,A,,,,,,,,,,
4,B,81,1,بصح,,ب+صح,,,,1,A,,,,,,,,,,
4,B,81,2,ما,,ما,,,,1,A,,,,,,,,,,
4,B,81,3,نعرفش,,نعرف+ش,,,,1,A,,,,,,,,,,
4,B,81,4,قداه,,قدا+ه,,,,1,A,,,,,,,,,,
4,B,81,5,الساعة,,ال+ساع+ة,,,,1,A,,,,,,,,,,
4,B,81,6,لي,,لي,,,,1,A,,,,,,,,,,
4,B,81,7,لازم,,لازم,,,,1,A,,,,,,,,,,
4,B,81,8,تروح,,تروح,,,,1,A,,,,,,,,,,
4,B,81,9,فيها,,في+ها,,,,1,A,,,,,,,,,,
4,B,81,10,اوكي,,اوكي,,,,1,A,,,,,,,,,,
4,B,81,0,EOS,,EOS,,,,1,A,,,,,,,,,,
4,B,82,1,بعد,,بعد,,,,1,A,,,,,,,,,,
4,B,82,2,خروج,,خروج,,,,1,A,,,,,,,,,,
4,B,82,3,ايهاب,,ايهاب,,,,1,A,,,,,,,,,,
4,B,82,4,المغاربة,,ال+مغارب+ة,,,,2,A,,,,,,,,,,
4,B,82,5,يشجعوك,,يشجع+و+ك,,,,2,A,,,,,,,,,,
4,B,82,6,انت,,أنت,,,,2,A,,,,,,,,,,
4,B,82,7,نبغييك,,نبغي+يك,,,,2,A,,,,,,,,,,
4,B,82,8,بزاف,,بزاف,,,,2,A,,,,,,,,,,
4,B,82,9,سلم,,سلم,,,,2,A,,,,,,,,,,
4,B,82,10,على,,على,,,,2,A,,,,,,,,,,
4,B,82,11,المحترمة,,ال+محترم+ة,,,,2,A,,,,,,,,,,
4,B,82,12,حبيبتي,,حبيب+ت+ي,,,,2,A,,,,,,,,,,
4,B,82,13,هايدي,,هايدي,,,,2,A,,,,,,,,,,
4,B,82,14,و,,و,,,,2,A,,,,,,,,,,
4,B,82,15,بيسو,,بيسو,,,,2,A,,,,,,,,,,
4,B,82,16,و,,و,,,,2,A,,,,,,,,,,
4,B,82,17,رف,,رف,,,,2,A,,,,,,,,,,
4,B,82,0,EOS,,EOS,,,,2,A,,,,,,,,,,
2,B,83,1,بغيت,,بغي+ت,,,,2,A,,,,,,,,,,
2,B,83,2,شكارة,,شكار+ة,,,,2,A,,,,,,,,,,
2,B,83,3,ديال,,ديال,,,,2,A,,,,,,,,,,
2,B,83,4,الرويض,,ال+رويض,,,,2,A,,,,,,,,,,
2,B,83,0,EOS,,EOS,,,,2,A,,,,,,,,,,
5,B,84,1,بغيتها,,بغي+ت+ها,,,,2,A,,,,,,,,,,
5,B,84,2,غا,,غا,,,,2,A,,,,,,,,,,
5,B,84,3,تخرج,,تخرج,,,,1,A,,,,,,,,,,
5,B,84,4,من,,من,,,,1,A,,,,,,,,,,
5,B,84,5,اذاعة,,إذاع+ة,,,,1,A,,,,,,,,,,
5,B,84,6,تدخل,,تدخل,,,,1,A,,,,,,,,,,
5,B,84,7,لوحدة,,ل+وحد+ة,,,,1,A,,,,,,,,,,
5,B,84,8,اخرى,,أخرى,,,,1,A,,,,,,,,,,
5,B,84,9,لكن,,لكن,,,,1,A,,,,,,,,,,
5,B,84,10,هادشي,,هادشي,,,,1,A,,,,,,,,,,
5,B,84,11,غا,,غا,,,,1,A,,,,,,,,,,
5,B,84,12,متمنيات,,متمني+ات,,,,1,A,,,,,,,,,,
5,B,84,13,و,,و,,,,1,A,,,,,,,,,,
5,B,84,14,ما,,ما,,,,1,A,,,,,,,,,,
5,B,84,15,غا,,غا,,,,1,A,,,,,,,,,,
5,B,84,16,يقدر,,يقدر,,,,1,A,,,,,,,,,,
5,B,84,17,يتحقق,,يتحقق,,,,1,A,,,,,,,,,,
5,B,84,18,الا,,الا,,,,2,A,,,,,,,,,,
5,B,84,19,اذا,,اذا,,,,2,A,,,,,,,,,,
5,B,84,20,كان,,كان,,,,2,A,,,,,,,,,,
5,B,84,21,اتحاد,,اتحاد,,,,2,A,,,,,,,,,,
5,B,84,22,اعيدها,,اعيد+ها,,,,2,A,,,,,,,,,,
5,B,84,23,ماشي,,ماشي,,,,2,A,,,,,,,,,,
5,B,84,24,كلا,,كلا,,,,2,A,,,,,,,,,,
5,B,84,25,ف,,ف,,,,2,A,,,,,,,,,,
5,B,84,26,جهة,,جه+ة,,,,2,A,,,,,,,,,,
5,B,84,0,EOS,,EOS,,,,2,A,,,,,,,,,,
5,B,85,1,بغيتو,,بغيت+و,,,,2,A,,,,,,,,,,
5,B,85,2,غير,,غير,,,,2,A,,,,,,,,,,
5,B,85,3,شوهة,,شوه+ة,,,,2,A,,,,,,,,,,
5,B,85,4,مرحبا,,مرحبا,,,,4,B,,,,,,,,,,
5,B,85,5,الخانزات,,ال+خانز+ات,,,,4,B,,,,,,,,,,
5,B,85,6,ياترى,,يا+ترى,,,,4,B,,,,,,,,,,
5,B,85,7,علاش,,علاش,,,,4,B,,,,,,,,,,
5,B,85,8,مانتقدتو,,ما+نتقد+تو,,,,4,B,,,,,,,,,,
5,B,85,9,سكينة,,سكين+ة,,,,4,B,,,,,,,,,,
5,B,85,10,لي,,لي,,,,4,B,,,,,,,,,,
5,B,85,11,كانت,,كان+ت,,,,4,B,,,,,,,,,,
5,B,85,12,تبكي,,تبكي,,,,4,B,,,,,,,,,,
5,B,85,13,ع,,ع,,,,4,B,,,,,,,,,,
5,B,85,14,رفاييل,,رفاييل,,,,4,B,,,,,,,,,,
5,B,85,0,EOS,,EOS,,,,4,B,,,,,,,,,,
4,A,86,1,بغيتي,,ب+غي+ت+ي,,,,4,B,,,,,,,,,,
4,A,86,2,يكون,,يكون,,,,4,B,,,,,,,,,,
4,A,86,3,عندك,,عند+ك,,,,4,B,,,,,,,,,,
4,A,86,4,الزهر,,ال+زهر,,,,4,B,,,,,,,,,,
4,A,86,5,مع,,مع,,,,4,B,,,,,,,,,,
4,A,86,6,بنادم,,بنادم,,,,4,B,,,,,,,,,,
4,A,86,7,فهاد,,ف+هاد,,,,4,B,,,,,,,,,,
4,A,86,8,البلاد,,ال+بلاد,,,,4,B,,,,,,,,,,
4,A,86,9,كذب,,كذب,,,,4,B,,,,,,,,,,
4,A,86,10,و,,و,,,,4,B,,,,,,,,,,
4,A,86,11,تفلا,,تفلا,,,,4,B,,,,,,,,,,
4,A,86,12,و,,و,,,,4,B,,,,,,,,,,
4,A,86,13,جرجر,,جرجر,,,,4,B,,,,,,,,,,
4,A,86,14,عباد,,عباد,,,,4,B,,,,,,,,,,
4,A,86,15,الله,,الله,,,,4,B,,,,,,,,,,
4,A,86,16,غادي,,غادي,,,,4,B,,,,,,,,,,
4,A,86,17,تولي,,تولي,,,,4,B,,,,,,,,,,
4,A,86,18,أنت,,أنت,,,,4,B,,,,,,,,,,
4,A,86,19,هو,,هو,,,,4,B,,,,,,,,,,
4,A,86,20,سيدي,,سيد+ي,,,,4,B,,,,,,,,,,
4,A,86,21,و,,و,,,,4,B,,,,,,,,,,
4,A,86,22,مولاي,,مولا+ي,,,,4,B,,,,,,,,,,
4,A,86,23,و,,و,,,,4,B,,,,,,,,,,
4,A,86,24,مابحالك,,ما+ب+حال+ك,,,,4,B,,,,,,,,,,
4,A,86,25,حد,,حد,,,,4,B,,,,,,,,,,
4,A,86,0,EOS,,EOS,,,,4,B,,,,,,,,,,
